FIPS,STATE,2G,3G,4G_LTE,4G_Non_LTE,Other,ANY
020130001001247,AK,100.0,0.0,0.0,0.0,98.24,100.0
020130001001248,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001249,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001250,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001251,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001252,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001253,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001254,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001255,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001256,AK,100.0,0.0,0.0,0.0,92.02,100.0
020130001001257,AK,100.0,0.0,0.0,0.0,95.46,100.0
020130001001258,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001259,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001260,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001261,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001262,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001263,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001264,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001265,AK,100.0,0.0,0.0,0.0,72.01,100.0
020130001001266,AK,67.23,0.0,0.0,0.0,0.0,67.23
020130001001267,AK,20.48,0.0,0.0,0.0,0.0,20.48
020130001001270,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001271,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001283,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001286,AK,68.02,0.0,0.0,0.0,7.22,68.02
020130001001289,AK,0.91,0.0,0.0,0.0,0.0,0.91
020130001001296,AK,20.85,0.0,0.0,0.0,0.0,20.85
020130001001298,AK,95.69,0.0,0.0,0.0,0.0,95.69
020130001001354,AK,4.3,0.0,0.0,0.0,0.0,4.3
020130001001359,AK,91.49,0.0,0.0,0.0,0.0,91.49
020130001001363,AK,53.03,0.0,0.0,0.0,0.0,53.03
020130001001364,AK,5.55,0.0,0.0,0.0,0.0,5.55
020130001001368,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001370,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001371,AK,67.14,0.0,0.0,0.0,0.0,67.14
020130001001372,AK,84.43,0.0,0.0,0.0,0.0,84.43
020130001001373,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001374,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001375,AK,81.96,0.0,0.0,0.0,0.0,81.96
020130001001383,AK,5.47,0.0,0.0,0.0,0.0,5.47
020130001001388,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001389,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001390,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001391,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001392,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001393,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001394,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001438,AK,6.52,0.0,0.0,0.0,0.0,6.52
020130001001439,AK,3.41,0.0,0.0,0.0,0.0,3.41
020130001001441,AK,15.08,0.0,0.0,0.0,0.0,15.08
020130001001442,AK,99.32,0.0,0.0,0.0,45.04,99.32
020130001001443,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001446,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001447,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001448,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001449,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001454,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001002000,AK,99.56,0.0,0.0,0.0,0.0,99.56
020130001002001,AK,13.94,0.0,0.0,0.0,0.0,13.94
020130001002002,AK,11.46,0.0,0.0,0.0,0.0,11.46
020130001002003,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002005,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002009,AK,98.11,0.0,0.0,0.0,0.0,98.11
020130001002014,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002026,AK,0.72,0.24,0.0,0.0,0.24,0.72
020130001002032,AK,27.91,0.0,0.0,0.0,0.0,27.91
020130001002045,AK,8.59,0.0,0.0,0.0,0.0,8.59
020130001002048,AK,8.3,0.0,0.0,0.0,0.0,8.3
020130001002069,AK,93.05,2.85,0.0,0.0,2.85,93.05
020130001002073,AK,87.09,0.81,0.0,0.0,0.81,87.09
020130001002076,AK,56.87,2.1,0.0,0.0,2.1,56.87
020130001002090,AK,2.22,0.0,0.0,0.0,0.0,2.22
020130001002110,AK,0.52,0.0,0.0,0.0,0.0,0.52
020130001002115,AK,1.26,0.0,0.0,0.0,0.0,1.26
020130001002118,AK,13.22,0.0,0.0,0.0,0.0,13.22
020130001002119,AK,87.04,0.0,0.0,0.0,0.0,87.04
020130001002120,AK,94.66,0.0,0.0,0.0,0.0,94.66
020130001002121,AK,99.79,0.0,0.0,0.0,0.0,99.79
020130001002122,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002123,AK,56.85,0.0,0.0,0.0,0.0,56.85
020130001002124,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002125,AK,57.34,0.0,0.0,0.0,0.0,57.34
020130001002126,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002127,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002128,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002129,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002130,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002131,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002132,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002133,AK,98.02,0.0,0.0,0.0,0.0,98.02
020130001002134,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002135,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002136,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002137,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002138,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002139,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002140,AK,58.78,0.0,0.0,0.0,0.0,58.78
020130001002141,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002144,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002145,AK,1.58,0.0,0.0,0.0,0.0,1.58
020130001002146,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002147,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002148,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002149,AK,16.47,0.0,0.0,0.0,0.0,16.47
020130001002151,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002152,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002153,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002154,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002155,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002156,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002157,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002158,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002159,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002160,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002161,AK,4.5,0.05,0.0,0.0,1.79,4.5
020130001002164,AK,36.3,0.0,0.0,0.0,20.02,36.3
020130001002186,AK,78.3,2.31,0.0,0.0,63.5,78.3
020130001002189,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001002200,AK,56.59,0.0,0.0,0.0,49.56,56.59
020130001002221,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001002234,AK,0.01,0.0,0.0,0.0,0.0,0.01
020130001002236,AK,63.99,35.54,0.0,0.0,35.84,63.99
020130001002243,AK,0.06,0.0,0.0,0.0,0.0,0.06
020130001002245,AK,13.98,0.0,0.0,0.0,10.66,13.98
020130001002246,AK,13.56,0.0,0.0,0.0,0.0,13.56
020130001002247,AK,66.17,0.0,0.0,0.0,9.61,66.17
020130001002249,AK,57.79,0.0,0.0,0.0,29.4,57.79
020130001002262,AK,99.97,0.0,0.0,0.0,0.12,99.97
020130001002270,AK,57.97,0.03,0.0,0.0,0.03,57.97
020130001002271,AK,57.01,3.57,0.0,0.0,3.57,57.01
020130001002272,AK,65.57,0.1,0.0,0.0,0.1,65.57
020130001002273,AK,5.66,0.0,0.0,0.0,0.0,5.66
020130001002274,AK,71.55,33.95,0.0,0.0,33.95,71.55
020130001002275,AK,29.17,0.0,0.0,0.0,0.0,29.17
020130001002276,AK,7.51,0.0,0.0,0.0,0.0,7.51
020130001002310,AK,0.0,0.0,0.0,0.0,0.0,0.0
020130001002311,AK,43.68,0.0,0.0,0.0,0.0,43.68
020130001002313,AK,92.46,0.0,0.0,0.0,0.0,92.46
020130001002314,AK,90.71,65.23,0.0,0.0,65.23,90.71
020130001002315,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001002317,AK,74.83,31.44,0.0,0.0,31.44,74.83
020130001002318,AK,25.33,2.06,0.0,0.0,15.54,25.33
020130001002319,AK,95.69,65.62,0.0,0.0,67.7,95.69
020130001002320,AK,99.62,32.05,0.0,0.0,32.05,99.62
020130001002321,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001002322,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001002323,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001002324,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001002325,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001002326,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001002329,AK,13.49,8.42,0.0,0.0,8.42,13.49
020130001002330,AK,94.61,18.85,0.0,0.0,18.85,94.61
020130001002333,AK,6.93,0.32,0.0,0.0,0.32,6.93
020130001002336,AK,26.93,0.0,0.0,0.0,21.94,26.93
020130001002341,AK,41.96,0.0,0.0,0.0,0.0,41.96
020130001002344,AK,33.27,0.0,0.0,0.0,0.0,33.27
020130001002366,AK,0.03,0.0,0.0,0.0,0.0,0.03
020130001002378,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002379,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002380,AK,100.0,42.56,0.0,0.0,42.56,100.0
020130001002381,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001002382,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001002383,AK,100.0,20.33,0.0,0.0,20.33,100.0
020130001002387,AK,52.62,0.0,0.0,0.0,24.68,52.62
020130001002389,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001002397,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001003118,AK,5.79,2.35,0.0,0.0,2.35,5.79
020130001003127,AK,31.19,22.76,0.0,0.0,22.76,31.19
020130001003132,AK,2.13,0.0,0.0,0.0,0.0,2.13
020130001003133,AK,86.37,68.45,0.0,0.0,68.45,86.37
020130001003143,AK,14.54,10.52,0.0,0.0,10.52,14.54
020130001003145,AK,0.14,0.0,0.0,0.0,0.0,0.14
020130001003156,AK,7.63,5.01,0.0,0.0,5.01,7.63
020130001003159,AK,56.75,44.44,0.0,0.0,44.44,56.75
020130001003160,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003165,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003168,AK,5.67,0.01,0.0,0.0,0.01,5.67
020130001003172,AK,1.75,0.0,0.0,0.0,0.0,1.75
020130001003174,AK,100.0,66.42,0.0,0.0,66.42,100.0
020130001003177,AK,3.46,0.0,0.0,0.0,0.0,3.46
020130001003178,AK,0.38,0.01,0.0,0.0,0.01,0.38
020130001003195,AK,77.38,50.4,0.0,0.0,50.4,77.38
020130001003196,AK,100.0,98.06,0.0,0.0,98.06,100.0
020130001003197,AK,100.0,96.94,0.0,0.0,96.94,100.0
020130001003198,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003199,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003200,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003201,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003202,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003203,AK,100.0,97.95,0.0,0.0,97.95,100.0
020130001003204,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003205,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003206,AK,38.65,16.75,0.0,0.0,16.75,38.65
020130001003207,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003208,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003209,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003210,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003211,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003212,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003226,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003242,AK,100.0,100.0,0.0,0.0,100.0,100.0
020130001003243,AK,22.6,0.0,0.0,0.0,0.0,22.6
020160001001000,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001016,AK,15.37,0.0,0.0,0.0,0.0,15.37
020160001001022,AK,4.25,0.0,0.0,0.0,0.0,4.25
020160001001023,AK,31.04,0.0,0.0,0.0,0.0,31.04
020160001001030,AK,2.26,0.0,0.0,0.0,0.0,2.26
